timestamp,temperature,hr,spo2,ax,ay,az,gx,gy,gz,perclos,ear,mar,yawn_status,head_angle,auto_label
1762800719.642731,36.59,61.35,93.59,-0.23,-0.17,-1.12,-4.08,-1.22,0.12,85.62,0.07,0.01,Open,6.92,Fatigued
1762800750.86801,36.01,71.2,95.31,-0.22,-0.1,-1.07,-3.95,-1.45,0.27,8.84,0.4,0.0,Closed,-3.14,Alert
1762800694.4730859,36.17,71.88,96.74,-0.28,0.0,-1.07,-3.98,-1.44,0.13,3.43,0.33,0.0,Closed,-0.58,Alert
1762800972.3361046,36.18,79.16,97.37,-0.34,-0.12,-1.13,-4.0,-1.49,0.3,5.15,0.37,0.0,Closed,2.43,Alert
1762801250.2686534,36.06,71.48,95.26,-0.2,0.03,-1.07,-4.03,-1.54,0.34,5.26,0.32,0.0,Closed,0.8,Alert
1762801437.5103767,36.3,84.35,99.71,-0.32,-0.04,-1.01,-3.98,-1.39,0.28,3.55,0.4,0.0,Closed,2.39,Alert
1762800654.0803866,37.25,66.64,94.0,-0.11,-0.07,-1.11,-4.13,-1.54,0.3,59.42,0.28,0.01,Closed,8.13,Drowsy
1762800677.6759307,36.04,77.1,96.7,-0.25,-0.07,-1.09,-3.97,-1.45,0.29,4.14,0.38,0.0,Closed,-4.78,Alert
1762800993.6594179,36.91,69.04,94.47,-0.21,-0.18,-1.13,-3.99,-1.44,0.25,53.88,0.19,0.01,Open,3.76,Drowsy
1762800672.64331,36.46,73.2,99.92,-0.27,-0.12,-1.23,-4.02,-1.51,0.37,6.46,0.37,0.0,Closed,-4.36,Alert
1762801668.422808,36.5,78.98,98.12,-0.15,-0.05,-1.1,-3.96,-1.41,0.25,0.71,0.4,0.0,Closed,3.44,Alert
1762801083.4982743,37.36,73.26,95.12,-0.3,-0.07,-1.25,-4.12,-1.48,0.35,57.55,0.24,0.01,Open,3.0,Drowsy
1762801580.8523138,36.17,82.29,99.45,-0.28,-0.05,-1.06,-4.05,-1.48,0.27,8.91,0.38,0.0,Closed,1.74,Alert
1762801103.3243034,36.77,83.79,99.75,-0.17,-0.09,-1.15,-4.06,-1.54,0.37,5.58,0.39,0.0,Closed,3.61,Alert
1762800725.6907566,36.66,68.73,97.06,-0.23,-0.11,-1.04,-3.92,-1.63,0.39,43.67,0.23,0.01,Closed,14.04,Drowsy
1762800987.6235626,36.6,78.25,95.73,-0.27,-0.07,-1.04,-3.93,-1.46,0.28,8.99,0.4,0.0,Closed,-3.96,Alert
1762801561.4467266,36.86,82.05,97.74,-0.27,-0.07,-1.19,-4.0,-1.48,0.35,1.05,0.39,0.0,Closed,-2.9,Alert
1762800805.5112145,37.2,65.46,97.48,-0.22,0.05,-0.98,-3.94,-1.5,0.43,34.87,0.22,0.0,Open,-14.4,Drowsy
1762801232.7601385,36.5,77.68,97.76,-0.36,-0.04,-1.01,-4.07,-1.45,0.25,8.68,0.33,0.0,Closed,-1.6,Alert
1762801287.171851,36.25,71.82,97.11,-0.19,-0.04,-1.11,-4.01,-1.49,0.41,3.48,0.39,0.0,Closed,-1.03,Alert
