timestamp,status,confidence,perclos,ear,mar,yawn,head_pitch,head_yaw,acc_x,acc_y,acc_z,temp,hr,spo2,pred_alert,pred_drowsy,pred_fatigued
1766734050.4342134,ALERT,0.99,0.0,0.329,0.001,0.0,-2.14,17.43,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734050.8099325,ALERT,0.99,0.0,0.329,0.001,0.0,-2.45,20.46,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734051.1822445,ALERT,0.99,0.0,0.342,0.001,0.0,-2.7,18.88,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734051.5358548,ALERT,0.99,0.0,0.342,0.001,0.0,-2.7,18.88,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734052.0170586,ALERT,0.99,0.0,0.36,0.002,0.0,6.27,-1.43,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734052.2798007,ALERT,0.99,0.0,0.36,0.002,0.0,6.27,-1.43,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734052.6341076,ALERT,0.99,0.0,0.272,0.004,0.0,-1.54,18.85,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734053.5227814,ALERT,0.99,0.0,0.37,0.004,0.0,-2.43,19.32,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734054.2182333,ALERT,0.99,0.0,0.326,0.003,0.0,-1.77,25.62,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734054.73536,ALERT,0.99,0.0,0.326,0.003,0.0,-1.77,25.62,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734055.023262,ALERT,0.99,0.0,0.347,0.002,0.0,-2.98,19.97,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734055.7181184,ALERT,0.99,0.0,0.306,0.002,0.0,-2.98,19.97,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734056.5235023,ALERT,0.99,16.7,0.292,0.002,0.0,-2.21,18.36,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734056.791323,ALERT,0.99,16.7,0.292,0.002,0.0,-3.04,19.52,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734057.2169967,ALERT,0.99,16.7,0.292,0.002,0.0,-3.04,19.52,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734057.8885665,ALERT,0.99,50.0,0.242,0.004,0.0,0.43,11.79,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734058.2893136,ALERT,0.99,50.0,0.34,0.004,0.0,0.21,10.01,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734058.7117453,ALERT,0.99,50.0,0.34,0.004,0.0,0.21,10.01,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734059.52926,ALERT,0.99,33.3,0.334,0.008,0.0,0.21,9.6,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734059.9884756,ALERT,0.99,0.0,0.361,0.001,0.0,1.46,12.35,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734061.0331597,ALERT,0.99,0.0,0.364,0.004,0.0,0.7,11.66,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734061.7228863,ALERT,0.99,0.0,0.382,0.009,0.0,7.58,12.77,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734062.174406,ALERT,0.99,0.0,0.321,0.011,0.0,1.87,2.98,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734062.5277314,ALERT,0.99,0.0,0.321,0.011,0.0,0.62,-2.91,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734063.2210712,ALERT,0.99,16.7,0.214,0.011,0.0,4.09,21.42,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734064.0438344,ALERT,0.99,16.7,0.346,0.006,0.0,0.5,12.29,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734064.332261,ALERT,0.99,16.7,0.346,0.006,0.0,0.5,12.29,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734064.7280946,ALERT,0.99,16.7,0.316,0.005,0.0,1.1,8.85,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734065.409683,ALERT,0.99,0.0,0.327,0.01,0.0,-4.06,15.38,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734065.7801762,ALERT,0.99,0.0,0.327,0.01,0.0,-4.06,15.38,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734066.2192774,ALERT,0.99,33.3,0.236,0.004,0.0,-3.97,9.8,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734066.4950674,ALERT,0.99,33.3,0.236,0.004,0.0,-3.97,9.8,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734067.0614517,ALERT,0.99,33.3,0.327,0.003,0.0,-0.98,10.41,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734067.5794241,ALERT,0.99,33.3,0.327,0.003,0.0,-0.98,10.41,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734068.5429633,ALERT,0.99,0.0,0.333,0.003,0.0,-0.2,11.87,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734069.217637,ALERT,0.99,0.0,0.333,0.003,0.0,-0.21,11.22,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734069.6975484,ALERT,0.99,0.0,0.341,0.003,0.0,-0.23,11.4,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734070.0311654,ALERT,0.99,0.0,0.341,0.003,0.0,-0.23,11.4,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734070.711543,ALERT,0.99,33.3,0.071,0.005,0.0,0.42,4.62,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734071.5267475,ALERT,0.99,33.3,0.341,0.005,0.0,-0.4,8.5,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734071.8388278,ALERT,0.99,33.3,0.327,0.006,0.0,-0.1,10.14,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734072.2145078,ALERT,0.99,33.3,0.327,0.006,0.0,-0.1,10.14,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734072.9259884,ALERT,0.99,0.0,0.316,0.001,0.0,-2.07,11.18,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734073.2805662,ALERT,0.99,0.0,0.316,0.001,0.0,-2.07,11.18,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734073.7112827,ALERT,0.99,33.3,0.167,0.002,0.0,-4.7,-15.99,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734074.012803,ALERT,0.99,33.3,0.167,0.002,0.0,-4.7,-15.99,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734074.534155,ALERT,0.99,66.7,0.087,0.002,0.0,1.65,4.76,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734075.1045732,ALERT,0.99,100.0,0.075,0.003,0.0,-1.15,5.77,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734076.035232,ALERT,0.99,66.7,0.308,0.0,0.0,-0.58,10.37,0,0,0,0.0,0.0,0,0.991,0.008,0.001
1766734076.7156096,ALERT,0.99,33.3,0.345,0.001,0.0,-2.1,12.53,0,0,0,0.0,0.0,0,0.991,0.008,0.001
1766734077.2068722,ALERT,0.99,33.3,0.345,0.001,0.0,-2.1,12.53,0,0,0,0.0,0.0,0,0.991,0.008,0.001
1766734077.5210886,ALERT,0.99,0.0,0.343,0.001,0.0,0.79,12.01,0,0,0,0.0,0.0,0,0.991,0.008,0.001
1766734078.2186046,ALERT,0.99,0.0,0.334,0.003,0.0,0.08,10.8,0,0,0,0.0,0.0,0,0.991,0.008,0.001
